Sex,Priming,trialN,Block,Adjective,Valence,Answer,Arrow,rT
male,Collective,1,we,ofensivo,negative,yes,left,623
male,Collective,2,we,resentido,negative,no,right,1235
male,Collective,3,we,ego�sta,negative,yes,left,335
male,Collective,4,we,indiscreto,negative,yes,left,355
male,Collective,5,we,sumiso,negative,yes,left,618
male,Collective,6,we,agradable,positive,yes,left,328
male,Collective,7,we,clasista,negative,yes,left,348
male,Collective,8,we,altruista,positive,yes,left,1620
male,Collective,9,we,ansioso,negative,yes,left,346
male,Collective,10,we,presumido,negative,yes,left,778
male,Collective,11,we,perceptivo,positive,no,right,316
male,Collective,12,we,obsceno,negative,no,right,1589
male,Collective,13,we,delincuente,negative,no,right,1459
male,Collective,14,we,sencillo,positive,yes,left,561
male,Collective,15,we,avaro,negative,yes,left,301
male,Collective,16,we,d�spota,negative,yes,left,1211
male,Collective,17,we,divertido,positive,yes,left,595
male,Collective,18,we,pragm�tico,positive,no,right,1186
male,Collective,19,we,estudioso,positive,no,right,318
male,Collective,20,we,responsable,positive,no,right,1241
male,Collective,21,we,piadoso,positive,yes,left,750
male,Collective,22,we,sensible,positive,no,right,1103
male,Collective,23,we,conformista,negative,yes,left,1015
male,Collective,24,we,inseguro,negative,yes,left,379
male,Collective,25,we,chistoso,positive,yes,left,1241
male,Collective,26,we,insidioso,negative,yes,left,360
male,Collective,27,we,intruso,negative,no,right,988
male,Collective,28,we,cuentero,negative,no,right,1326
male,Collective,29,we,t�mido,negative,yes,left,487
male,Collective,30,we,ir�nico,negative,yes,left,306
male,Collective,31,we,obediente,positive,no,right,2130
male,Collective,32,we,soberbio,negative,yes,left,425
male,Collective,33,we,galante,positive,no,right,1756
male,Collective,34,we,educado,positive,no,right,287
male,Collective,35,we,vigoroso,positive,no,right,1788
male,Collective,36,we,risue�o,positive,yes,left,1584
male,Collective,37,we,traicionero,negative,no,right,255
male,Collective,38,we,alaraco,negative,no,right,2083
male,Collective,39,we,curioso,positive,yes,left,2005
male,Collective,40,we,solidario,positive,no,right,2038
male,Collective,41,we,violento,negative,yes,left,317
male,Collective,42,we,absorbente,negative,yes,left,300
male,Collective,43,we,emp�tico,positive,no,right,718
male,Collective,44,we,obstinado,negative,no,right,1165
male,Collective,45,we,gentil,positive,yes,left,270
male,Collective,46,we,bac�n,positive,no,right,613
male,Collective,47,we,jovial,positive,yes,left,1227
male,Collective,48,we,borracho,negative,yes,left,272
male,Collective,49,we,vicioso,negative,yes,left,327
male,Collective,50,we,arribista,negative,no,right,282
male,Collective,51,we,bromista,positive,yes,left,299
male,Collective,52,we,rutinario,negative,yes,left,692
male,Collective,53,we,directo,positive,no,right,1740
male,Collective,54,we,canchero,positive,no,right,636
male,Collective,55,we,temeroso,negative,no,right,1989
male,Collective,56,we,simp�tico,positive,yes,left,938
male,Collective,57,we,ordinario,negative,yes,left,606
male,Collective,58,we,inteligente,positive,no,right,1506
male,Collective,59,we,vanidoso,negative,yes,left,271
male,Collective,60,we,fastidioso,negative,no,right,266
male,Collective,61,we,molestoso,negative,yes,left,1639
male,Collective,62,we,patriota,positive,yes,left,238
male,Collective,63,we,espont�neo,positive,no,right,2005
male,Collective,64,we,pedante,negative,no,right,2381
male,Collective,65,we,audaz,positive,no,right,292
male,Collective,66,we,festivo,positive,yes,left,184
male,Collective,67,we,quisquilloso,negative,yes,left,358
male,Collective,68,we,honesto,positive,yes,left,264
male,Collective,69,we,optimista,positive,no,right,2232
male,Collective,70,we,brillante,positive,no,right,300
male,Collective,71,we,sarc�stico,negative,yes,left,1215
male,Collective,72,we,efectivo,positive,no,right,725
male,Collective,73,we,hostil,negative,no,right,1307
male,Collective,74,we,ingenioso,positive,no,right,328
male,Collective,75,we,idealista,positive,yes,left,658
male,Collective,76,we,elocuente,positive,no,right,440
male,Collective,77,we,cari�oso,positive,no,right,1427
male,Collective,78,we,decente,positive,no,right,2272
male,Collective,79,we,humilde,positive,yes,left,277
male,Collective,80,we,inmaduro,negative,no,right,2403
male,Collective,81,we,hogare�o,positive,yes,left,200
male,Collective,82,we,dependiente,negative,no,right,118
male,Collective,83,we,vengativo,negative,no,right,2954
male,Collective,84,we,ma�oso,negative,yes,left,486
male,Collective,85,we,rabioso,negative,yes,left,392
male,Collective,86,we,amargado,negative,yes,left,898
male,Collective,87,we,valiente,positive,no,right,1674
male,Collective,88,we,estresado,negative,yes,left,226
male,Collective,89,we,positivo,positive,no,right,1429
male,Collective,90,we,racista,negative,yes,left,366
