Sex,Priming,trialN,Block,Adjective,Valence,Answer,Arrow,rT
male,Individual,1,we,ego�sta,negative,yes,left,708
male,Individual,2,we,positivo,positive,no,right,667
male,Individual,3,we,indiscreto,negative,yes,left,634
male,Individual,4,we,obsceno,negative,yes,left,429
male,Individual,5,we,temeroso,negative,no,right,965
male,Individual,6,we,detallista,positive,no,right,763
male,Individual,7,we,presumido,negative,yes,left,885
male,Individual,8,we,sarc�stico,negative,yes,left,863
male,Individual,9,we,molestoso,negative,yes,left,835
male,Individual,10,we,especial,positive,no,right,995
male,Individual,11,we,audaz,positive,yes,left,786
male,Individual,12,we,desconfiado,negative,yes,left,562
male,Individual,13,we,alaraco,negative,yes,left,730
male,Individual,14,we,sinverg�enza,negative,yes,left,564
male,Individual,15,we,amoroso,positive,no,right,1174
male,Individual,16,we,suspicaz,positive,yes,left,596
male,Individual,17,we,envidioso,negative,no,right,514
male,Individual,18,we,apacible,positive,no,right,329
male,Individual,19,we,c�modo,negative,no,right,632
male,Individual,20,we,natural,positive,no,right,766
male,Individual,21,we,racista,negative,yes,left,381
male,Individual,22,we,descarado,negative,yes,left,768
male,Individual,23,we,perceptivo,positive,yes,left,1059
male,Individual,24,we,pedante,negative,yes,left,633
male,Individual,25,we,enfermizo,negative,no,right,511
male,Individual,26,we,avaro,negative,yes,left,641
male,Individual,27,we,educado,positive,yes,left,1477
male,Individual,28,we,machista,negative,yes,left,390
male,Individual,29,we,violento,negative,yes,left,1044
male,Individual,30,we,clasista,negative,yes,left,337
male,Individual,31,we,rom�ntico,positive,no,right,297
male,Individual,32,we,brillante,positive,no,right,1078
male,Individual,33,we,apretado,negative,yes,left,526
male,Individual,34,we,tolerante,positive,no,right,911
male,Individual,35,we,unido,positive,no,right,336
male,Individual,36,we,c�lido,positive,yes,left,727
male,Individual,37,we,canchero,positive,yes,left,459
male,Individual,38,we,inmaduro,negative,yes,left,918
male,Individual,39,we,festivo,positive,no,right,749
male,Individual,40,we,simp�tico,positive,yes,left,469
male,Individual,41,we,hogare�o,positive,no,right,302
male,Individual,42,we,patriota,positive,no,right,533
male,Individual,43,we,sedentario,negative,yes,left,522
male,Individual,44,we,comprensivo,positive,no,right,348
male,Individual,45,we,astuto,positive,yes,left,310
male,Individual,46,we,moderno,positive,no,right,318
male,Individual,47,we,hostil,negative,yes,left,304
male,Individual,48,we,sumiso,negative,no,right,340
male,Individual,49,we,persistente,positive,yes,left,521
male,Individual,50,we,inconstante,negative,yes,left,449
male,Individual,51,we,miedoso,negative,no,right,595
male,Individual,52,we,orgulloso,negative,yes,left,1534
male,Individual,53,we,diferente,positive,no,right,764
male,Individual,54,we,resentido,negative,no,right,653
male,Individual,55,we,tranquilo,positive,no,right,282
male,Individual,56,we,amargado,negative,yes,left,448
male,Individual,57,we,sagaz,positive,yes,left,691
male,Individual,58,we,exitoso,positive,no,right,1769
male,Individual,59,we,curioso,positive,yes,left,2949
male,Individual,60,we,quisquilloso,negative,no,right,1249
male,Individual,61,we,infantil,negative,no,right,341
male,Individual,62,we,emp�tico,positive,no,right,230
male,Individual,63,we,cordial,positive,no,right,598
male,Individual,64,we,vicioso,negative,yes,left,1445
male,Individual,65,we,optimista,positive,no,right,320
male,Individual,66,we,rutinario,negative,yes,left,715
male,Individual,67,we,posesivo,negative,yes,left,625
male,Individual,68,we,codicioso,negative,yes,left,523
male,Individual,69,we,nervioso,negative,yes,left,209
male,Individual,70,we,honrado,positive,yes,left,299
male,Individual,71,we,ma�oso,negative,yes,left,1013
male,Individual,72,we,ingrato,negative,yes,left,555
male,Individual,73,we,regal�n,positive,no,right,1026
male,Individual,74,we,suertudo,positive,no,right,338
male,Individual,75,we,perspicaz,positive,yes,left,518
male,Individual,76,we,conformista,negative,no,right,346
male,Individual,77,we,vengativo,negative,yes,left,377
male,Individual,78,we,p�caro,positive,yes,left,433
male,Individual,79,we,bac�n,positive,yes,left,142
male,Individual,80,we,idealista,positive,no,right,926
male,Individual,81,we,responsable,positive,no,right,1212
male,Individual,82,we,estudioso,positive,no,right,513
male,Individual,83,we,rencoroso,negative,yes,left,522
male,Individual,84,we,honesto,positive,no,right,379
male,Individual,85,we,gentil,positive,no,right,440
male,Individual,86,we,delincuente,negative,yes,left,1679
male,Individual,87,we,eficiente,positive,no,right,1837
male,Individual,88,we,sencillo,positive,no,right,526
male,Individual,89,we,entusiasta,positive,no,right,819
male,Individual,90,we,cari�oso,positive,yes,left,660
male,Individual,91,we,sincero,positive,yes,left,2014
male,Individual,92,we,bondadoso,positive,no,right,868
male,Individual,93,we,inteligente,positive,yes,left,578
male,Individual,94,we,creativo,positive,yes,left,524
male,Individual,95,we,impuntual,negative,yes,left,614
male,Individual,96,we,amante,positive,no,right,690
male,Individual,97,we,abusivo,negative,yes,left,1022
male,Individual,98,we,solidario,positive,no,right,1178
male,Individual,99,we,hip�crita,negative,yes,left,290
male,Individual,100,we,entregado,positive,no,right,908
male,Individual,101,we,intruso,negative,yes,left,1476
male,Individual,102,we,divertido,positive,yes,left,386
male,Individual,103,we,ansioso,negative,yes,left,352
male,Individual,104,we,obsesivo,negative,yes,left,547
male,Individual,105,we,ordinario,negative,yes,left,371
male,Individual,106,we,sociable,positive,yes,left,494
male,Individual,107,we,compasivo,positive,no,right,372
male,Individual,108,we,arrastrado,negative,yes,left,560
male,Individual,109,we,agresivo,negative,yes,left,333
male,Individual,110,we,impulsivo,negative,yes,left,437
male,Individual,111,we,bromista,positive,yes,left,379
