Sex,Priming,trialN,Block,Adjective,Valence,Answer,Arrow,rT
male,Individual,129,me,astuto,positive,yes,left,310
male,Individual,130,me,seguro,positive,yes,left,1077
male,Individual,131,me,sarc�stico,negative,yes,left,555
male,Individual,132,me,educado,positive,yes,left,256
male,Individual,133,me,directo,positive,yes,left,345
male,Individual,134,me,audaz,positive,yes,left,249
male,Individual,135,me,persuasivo,positive,yes,left,358
male,Individual,136,me,soberbio,negative,no,right,275
male,Individual,137,me,risue�o,positive,yes,left,403
male,Individual,138,me,miedoso,negative,no,right,265
male,Individual,139,me,desconfiado,negative,no,right,2346
male,Individual,140,me,codicioso,negative,no,right,2782
male,Individual,141,me,tranquilo,positive,yes,left,244
male,Individual,142,me,sagaz,positive,no,right,1288
male,Individual,143,me,disperso,negative,yes,left,2272
male,Individual,144,me,altanero,negative,no,right,1445
male,Individual,145,me,rutinario,negative,yes,left,1730
male,Individual,146,me,pac�fico,positive,yes,left,516
male,Individual,147,me,cascarrabias,negative,no,right,259
male,Individual,148,me,especial,positive,no,right,654
male,Individual,149,me,arrogante,negative,no,right,3741
male,Individual,150,me,ir�nico,negative,yes,left,389
male,Individual,151,me,vergonzoso,negative,yes,left,1295
male,Individual,152,me,racional,positive,yes,left,663
male,Individual,153,me,extremista,negative,no,right,2308
male,Individual,154,me,ordinario,negative,yes,left,2304
male,Individual,155,me,machista,negative,no,right,231
male,Individual,156,me,insidioso,negative,no,right,3367
male,Individual,157,me,compasivo,positive,yes,left,197
male,Individual,158,me,moderno,positive,no,right,1025
male,Individual,159,me,comprensivo,positive,yes,left,269
male,Individual,160,me,reflexivo,positive,yes,left,496
male,Individual,161,me,unido,positive,yes,left,2947
male,Individual,162,me,conformista,negative,yes,left,230
male,Individual,163,me,cari�oso,positive,yes,left,858
male,Individual,164,me,intruso,negative,no,right,1019
male,Individual,165,me,gentil,positive,yes,left,362
male,Individual,166,me,jovial,positive,yes,left,552
male,Individual,167,me,quisquilloso,negative,yes,left,893
male,Individual,168,me,eficiente,positive,yes,left,863
male,Individual,169,me,valiente,positive,no,right,1618
male,Individual,170,me,ostentoso,negative,yes,left,1174
male,Individual,171,me,confiado,positive,yes,left,2067
male,Individual,172,me,violento,negative,no,right,549
male,Individual,173,me,ingenuo,negative,yes,left,467
male,Individual,174,me,absorbente,negative,no,right,2929
male,Individual,175,me,amargado,negative,no,right,210
male,Individual,176,me,atractivo,positive,yes,left,1118
male,Individual,177,me,sencillo,positive,yes,left,258
male,Individual,178,me,depresivo,negative,no,right,2585
male,Individual,179,me,prepotente,negative,no,right,279
male,Individual,180,me,realista,positive,yes,left,1151
male,Individual,181,me,cuentero,negative,no,right,2278
male,Individual,182,me,ambicioso,negative,no,right,693
male,Individual,183,me,estudioso,positive,no,right,246
male,Individual,184,me,celoso,negative,no,right,519
male,Individual,185,me,indiscreto,negative,yes,left,991
male,Individual,186,me,inseguro,negative,no,right,2172
male,Individual,187,me,dominante,negative,no,right,1923
male,Individual,188,me,ingenioso,positive,yes,left,2442
male,Individual,189,me,piadoso,positive,yes,left,1491
male,Individual,190,me,ansioso,negative,yes,left,1218
male,Individual,191,me,dependiente,negative,yes,left,2169
male,Individual,192,me,pedante,negative,no,right,340
male,Individual,193,me,sincero,positive,yes,left,949
male,Individual,194,me,esforzado,positive,no,right,863
male,Individual,195,me,responsable,positive,yes,left,278
male,Individual,196,me,honrado,positive,yes,left,192
male,Individual,197,me,solidario,positive,yes,left,1935
male,Individual,198,me,alaraco,negative,no,right,425
male,Individual,199,me,hogare�o,positive,yes,left,274
male,Individual,200,me,amoroso,positive,yes,left,588
male,Individual,201,we,machista,negative,yes,left,446
